option,rate_percent,run,attempt,status,seconds
opt1,0,0,0,OK,0.114232
opt1,0,1,1,OK,0.114832
opt1,0,2,2,OK,0.114712
opt1,0,3,3,OK,0.114843
opt1,0,4,4,OK,0.114228
opt1,5,0,0,OK,0.114142
opt1,5,1,1,OK,0.114846
opt1,5,2,2,OK,0.114650
opt1,5,3,3,OK,0.115018
opt1,5,4,4,OK,0.114530
opt1,10,0,0,OK,0.114297
opt1,10,1,1,OK,0.114444
opt1,10,2,2,OK,0.114582
opt1,10,3,3,OK,0.114688
opt1,10,4,4,OK,0.114649
opt1,15,0,0,OK,0.114352
opt1,15,1,1,OK,0.114808
opt1,15,2,2,OK,0.115096
opt1,15,3,3,OK,0.114970
opt1,15,4,4,OK,0.114579
opt1,20,0,0,OK,0.114207
opt1,20,1,1,OK,0.115069
opt1,20,2,2,OK,0.114548
opt1,20,3,3,OK,0.115145
opt1,20,4,4,OK,0.113976
opt1,25,0,0,OK,0.114220
opt1,25,1,1,OK,0.115078
opt1,25,2,2,OK,0.114723
opt1,25,3,3,OK,0.114781
opt1,25,4,4,OK,0.114715
opt1,30,0,0,OK,0.114303
opt1,30,1,1,OK,0.064309
opt1,30,2,2,OK,0.114235
opt1,30,3,3,OK,0.114042
opt1,30,4,4,OK,0.114835
opt1,35,0,0,OK,0.114303
opt1,35,1,1,OK,0.114665
opt1,35,2,2,OK,0.114881
opt1,35,3,3,OK,0.114847
opt1,35,4,4,OK,0.114326
opt1,40,0,0,OK,0.115030
opt1,40,1,1,OK,0.115476
opt1,40,2,2,OK,0.114400
opt1,40,3,3,OK,0.114869
opt1,40,4,4,OK,0.114597
opt1,45,0,0,OK,0.114176
opt1,45,1,1,OK,0.114170
opt1,45,2,2,OK,0.114502
opt1,45,3,3,OK,0.115043
opt1,45,4,4,OK,0.114905
opt1,50,0,0,OK,0.063940
opt1,50,1,1,OK,0.114600
opt1,50,2,2,OK,0.114727
opt1,50,3,3,OK,0.114362
opt1,50,4,4,OK,0.114846
opt1,55,0,0,OK,0.114285
opt1,55,1,1,OK,0.114710
opt1,55,2,2,OK,0.115386
opt1,55,3,3,OK,0.115078
opt1,55,4,4,OK,0.115010
opt1,60,0,0,OK,0.114580
opt1,60,1,1,OK,0.165333
opt1,60,2,2,OK,0.114514
opt1,60,3,3,OK,0.114538
opt1,60,4,4,OK,0.114354
opt1,65,0,0,OK,0.114396
opt1,65,1,1,OK,0.114689
opt1,65,2,2,OK,0.114302
opt1,65,3,3,OK,0.115035
opt1,65,4,4,OK,0.114699
opt1,70,0,0,OK,0.114811
opt1,70,1,1,OK,0.115235
opt1,70,2,2,OK,0.114582
opt1,70,3,3,OK,0.115133
opt1,70,4,4,OK,0.114693
