rate_percent,opt1_avg,opt1_ok_runs,opt2_avg,opt2_ok_runs,opt3_avg,opt3_ok_runs,opt4_avg,opt4_ok_runs,opt5_avg,opt5_ok_runs
0,0.065135,5,0.065229,5,0.065210,5,0.065096,5,0.065319,5
5,0.065046,5,0.115642,5,0.125966,5,0.115697,5,0.115567,5
10,0.065479,5,0.166011,5,0.176187,5,0.166092,5,0.175961,5
15,0.065438,5,0.196236,5,0.226268,5,0.226565,5,0.215698,5
20,0.065233,5,0.266495,5,0.297038,5,0.286684,5,0.276723,5
25,0.065273,5,0.326647,5,0.337340,5,0.347379,5,0.316851,5
30,0.058708,5,0.367088,5,0.427309,5,0.407466,5,0.387506,5
35,0.075119,5,0.478044,5,0.488216,5,0.507788,5,0.498493,5
40,0.065232,5,0.538145,5,0.588427,5,0.578292,5,0.548060,5
45,0.058879,5,0.627681,5,0.749417,5,0.729638,5,0.679020,5
50,0.065365,5,0.770178,5,0.809847,5,0.800324,5,0.739820,5
55,0.065321,5,0.840539,5,0.931259,5,0.930890,5,0.880498,5
60,0.065332,5,1.051631,5,1.121372,5,1.071996,5,1.011273,5
65,0.065549,5,1.272783,5,1.383043,5,1.464108,5,1.373836,5
70,0.065107,5,1.555525,5,1.785607,5,1.584549,5,1.504693,5
75,0.065447,5,1.898015,5,2.269324,5,2.289039,5,2.129256,5
80,0.064981,5,2.380432,5,2.883951,5,3.084841,5,2.843119,5
85,0.058707,5,3.094993,5,4.171857,5,4.172517,5,3.870171,5
90,0.058850,5,4.534353,5,6.596444,5,6.557487,5,6.095815,5
95,0.065663,5,7.402965,5,13.782218,5,12.574311,5,11.271105,5
