option,rate_percent,run,attempt,status,seconds
opt1,0,0,0,OK,0.065251
opt1,0,1,1,OK,0.065061
opt1,0,2,2,OK,0.065238
opt1,0,3,3,OK,0.065026
opt1,0,4,4,OK,0.065097
opt1,5,0,0,OK,0.065257
opt1,5,1,1,OK,0.065337
opt1,5,2,2,OK,0.064490
opt1,5,3,3,OK,0.064868
opt1,5,4,4,OK,0.065276
opt1,10,0,0,OK,0.065498
opt1,10,1,1,OK,0.065815
opt1,10,2,2,OK,0.065128
opt1,10,3,3,OK,0.065752
opt1,10,4,4,OK,0.065200
opt1,15,0,0,OK,0.065806
opt1,15,1,1,OK,0.065495
opt1,15,2,2,OK,0.065700
opt1,15,3,3,OK,0.064753
opt1,15,4,4,OK,0.065437
opt1,20,0,0,OK,0.065230
opt1,20,1,1,OK,0.065506
opt1,20,2,2,OK,0.065180
opt1,20,3,3,OK,0.065377
opt1,20,4,4,OK,0.064869
opt1,25,0,0,OK,0.065633
opt1,25,1,1,OK,0.065686
opt1,25,2,2,OK,0.064880
opt1,25,3,3,OK,0.065182
opt1,25,4,4,OK,0.064984
opt1,30,0,0,OK,0.065637
opt1,30,1,1,OK,0.065276
opt1,30,2,2,OK,0.065393
opt1,30,3,3,OK,0.064483
opt1,30,4,4,OK,0.032750
opt1,35,0,0,OK,0.064789
opt1,35,1,1,OK,0.065175
opt1,35,2,2,OK,0.064803
opt1,35,3,3,OK,0.065028
opt1,35,4,4,OK,0.115799
opt1,40,0,0,OK,0.065167
opt1,40,1,1,OK,0.065208
opt1,40,2,2,OK,0.064952
opt1,40,3,3,OK,0.065855
opt1,40,4,4,OK,0.064979
opt1,45,0,0,OK,0.065376
opt1,45,1,1,OK,0.065448
opt1,45,2,2,OK,0.032848
opt1,45,3,3,OK,0.064921
opt1,45,4,4,OK,0.065799
opt1,50,0,0,OK,0.065584
opt1,50,1,1,OK,0.065258
opt1,50,2,2,OK,0.064470
opt1,50,3,3,OK,0.065842
opt1,50,4,4,OK,0.065671
opt1,55,0,0,OK,0.065141
opt1,55,1,1,OK,0.065233
opt1,55,2,2,OK,0.065349
opt1,55,3,3,OK,0.065054
opt1,55,4,4,OK,0.065826
opt1,60,0,0,OK,0.065387
opt1,60,1,1,OK,0.065591
opt1,60,2,2,OK,0.065409
opt1,60,3,3,OK,0.065440
opt1,60,4,4,OK,0.064831
opt1,65,0,0,OK,0.066371
opt1,65,1,1,OK,0.065249
opt1,65,2,2,OK,0.064905
opt1,65,3,3,OK,0.065209
opt1,65,4,4,OK,0.066011
opt1,70,0,0,OK,0.064897
opt1,70,1,1,OK,0.065619
opt1,70,2,2,OK,0.064717
opt1,70,3,3,OK,0.065393
opt1,70,4,4,OK,0.064908
opt1,75,0,0,OK,0.065773
opt1,75,1,1,OK,0.065876
opt1,75,2,2,OK,0.064976
opt1,75,3,3,OK,0.065316
opt1,75,4,4,OK,0.065292
opt1,80,0,0,OK,0.064235
opt1,80,1,1,OK,0.064932
opt1,80,2,2,OK,0.065503
opt1,80,3,3,OK,0.065280
opt1,80,4,4,OK,0.064954
opt1,85,0,0,OK,0.064914
opt1,85,1,1,OK,0.065488
opt1,85,2,2,OK,0.065241
opt1,85,3,3,OK,0.065382
opt1,85,4,4,OK,0.032510
opt1,90,0,0,OK,0.065183
opt1,90,1,1,OK,0.032885
opt1,90,2,2,OK,0.065362
opt1,90,3,3,OK,0.065254
opt1,90,4,4,OK,0.065567
opt1,95,0,0,OK,0.065805
opt1,95,1,1,OK,0.065404
opt1,95,2,2,OK,0.066186
opt1,95,3,3,OK,0.065740
opt1,95,4,4,OK,0.065182
opt2,0,0,0,OK,0.065536
opt2,0,1,1,OK,0.065139
opt2,0,2,2,OK,0.065134
opt2,0,3,3,OK,0.064969
opt2,0,4,4,OK,0.065366
opt2,5,0,0,OK,0.115618
opt2,5,1,1,OK,0.116000
opt2,5,2,2,OK,0.114906
opt2,5,3,3,OK,0.115893
opt2,5,4,4,OK,0.115791
opt2,10,0,0,OK,0.166043
opt2,10,1,1,OK,0.165415
opt2,10,2,2,OK,0.165719
opt2,10,3,3,OK,0.166129
opt2,10,4,4,OK,0.166749
opt2,15,0,0,OK,0.216201
opt2,15,1,1,OK,0.165445
opt2,15,2,2,OK,0.166359
opt2,15,3,3,OK,0.166347
opt2,15,4,4,OK,0.266831
opt2,20,0,0,OK,0.216021
opt2,20,1,1,OK,0.266559
opt2,20,2,2,OK,0.266280
opt2,20,3,3,OK,0.316932
opt2,20,4,4,OK,0.266684
opt2,25,0,0,OK,0.367792
opt2,25,1,1,OK,0.366806
opt2,25,2,2,OK,0.266325
opt2,25,3,3,OK,0.316129
opt2,25,4,4,OK,0.316182
opt2,30,0,0,OK,0.367619
opt2,30,1,1,OK,0.316982
opt2,30,2,2,OK,0.366456
opt2,30,3,3,OK,0.417128
opt2,30,4,4,OK,0.367253
opt2,35,0,0,OK,0.467878
opt2,35,1,1,OK,0.467745
opt2,35,2,2,OK,0.518467
opt2,35,3,3,OK,0.468052
opt2,35,4,4,OK,0.468079
opt2,40,0,0,OK,0.568655
opt2,40,1,1,OK,0.567772
opt2,40,2,2,OK,0.568258
opt2,40,3,3,OK,0.468342
opt2,40,4,4,OK,0.517699
opt2,45,0,0,OK,0.770563
opt2,45,1,1,OK,0.566657
opt2,45,2,2,OK,0.615900
opt2,45,3,3,OK,0.466464
opt2,45,4,4,OK,0.718819
opt2,50,0,0,OK,0.720007
opt2,50,1,1,OK,0.820223
opt2,50,2,2,OK,0.719641
opt2,50,3,3,OK,0.871423
opt2,50,4,4,OK,0.719598
opt2,55,0,0,OK,0.871461
opt2,55,1,1,OK,0.769149
opt2,55,2,2,OK,0.820819
opt2,55,3,3,OK,0.870350
