rate_percent,opt1_avg,opt1_ok_runs,opt2_avg,opt2_ok_runs,opt3_avg,opt3_ok_runs,opt4_avg,opt4_ok_runs,opt5_avg,opt5_ok_runs
0,0.043866,3,0.065658,3,0.055007,3,0.065559,3,0.043773,3
5,0.054735,3,0.066456,3,1.152647,3,0.055005,3,0.937074,3
10,0.065570,3,0.065881,3,2.826552,3,0.044099,3,2.777916,3
15,0.054491,3,0.032837,3,4.527764,3,0.111714,3,3.263647,3
20,0.033141,3,0.199718,3,7.183584,3,0.133482,3,6.083508,3
25,0.053999,3,0.189305,3,7.630048,3,0.267980,3,7.467934,3
30,0.043035,3,0.133693,3,8.852906,1,0.201180,3,8.148716,3
35,0.054212,3,0.489977,3,,0,0.467770,3,9.811551,1
40,0.043643,3,0.737329,3,,0,0.401905,3,,0
45,0.032345,3,0.535807,3,,0,1.147690,3,,0
50,0.054204,3,1.350478,3,,0,1.012062,3,,0
