option,rate_percent,run,attempt,status,seconds
opt1,0,0,0,OK,0.066352
opt1,0,1,1,OK,0.032539
opt1,0,2,2,OK,0.032707
opt1,5,0,0,OK,0.066125
opt1,5,1,1,OK,0.032837
opt1,5,2,2,OK,0.065244
opt1,10,0,0,OK,0.066219
opt1,10,1,1,OK,0.064971
opt1,10,2,2,OK,0.065520
opt1,15,0,0,OK,0.065644
opt1,15,1,1,OK,0.064818
opt1,15,2,2,OK,0.033012
opt1,20,0,0,OK,0.034245
opt1,20,1,1,OK,0.032487
opt1,20,2,2,OK,0.032691
opt1,25,0,0,OK,0.032519
opt1,25,1,1,OK,0.065148
opt1,25,2,2,OK,0.064329
opt1,30,0,0,OK,0.032380
opt1,30,1,1,OK,0.032291
opt1,30,2,2,OK,0.064435
opt1,35,0,0,OK,0.064912
opt1,35,1,1,OK,0.033150
opt1,35,2,2,OK,0.064574
opt1,40,0,0,OK,0.065539
opt1,40,1,1,OK,0.032701
opt1,40,2,2,OK,0.032689
opt1,45,0,0,OK,0.032664
opt1,45,1,1,OK,0.032196
opt1,45,2,2,OK,0.032175
opt1,50,0,0,OK,0.065334
opt1,50,1,1,OK,0.064962
opt1,50,2,2,OK,0.032315
opt2,0,0,0,OK,0.065114
opt2,0,1,1,OK,0.065602
opt2,0,2,2,OK,0.066257
opt2,5,0,0,OK,0.065816
opt2,5,1,1,OK,0.067123
opt2,5,2,2,OK,0.066430
opt2,10,0,0,OK,0.065758
opt2,10,1,1,OK,0.066563
opt2,10,2,2,OK,0.065324
opt2,15,0,0,OK,0.033099
opt2,15,1,1,OK,0.032694
opt2,15,2,2,OK,0.032719
opt2,20,0,0,OK,0.065442
opt2,20,1,1,OK,0.266813
opt2,20,2,2,OK,0.266898
opt2,25,0,0,OK,0.266786
opt2,25,1,1,OK,0.267749
opt2,25,2,2,OK,0.033379
opt2,30,0,0,OK,0.269169
opt2,30,1,1,OK,0.065834
opt2,30,2,2,OK,0.066075
opt2,35,0,0,OK,0.320021
opt2,35,1,1,OK,0.473075
opt2,35,2,2,OK,0.676836
opt2,40,0,0,OK,0.670358
opt2,40,1,1,OK,0.670283
opt2,40,2,2,OK,0.871346
opt2,45,0,0,OK,0.668703
opt2,45,1,1,OK,0.468618
opt2,45,2,2,OK,0.470100
opt2,50,0,0,OK,1.484356
opt2,50,1,1,OK,1.487659
opt2,50,2,2,OK,1.079419
opt3,0,0,0,OK,0.033383
opt3,0,1,1,OK,0.066086
opt3,0,2,2,OK,0.065551
opt3,5,0,0,OK,1.083532
opt3,5,1,1,OK,1.492553
opt3,5,2,2,OK,0.881856
opt3,10,0,0,OK,3.115131
opt3,10,1,1,OK,2.881792
opt3,10,2,2,OK,2.482734
opt3,15,0,0,OK,5.548222
opt3,15,1,1,OK,4.722184
opt3,15,2,2,OK,3.312885
opt3,20,0,0,OK,6.599082
opt3,20,1,1,OK,8.196874
opt3,20,2,2,OK,6.754797
opt3,25,0,0,OK,7.608673
opt3,25,1,1,TIMEOUT,
opt3,25,1,2,OK,7.532369
opt3,25,2,3,OK,7.749103
opt3,30,0,0,TIMEOUT,
opt3,30,0,1,TIMEOUT,
opt3,30,0,2,TIMEOUT,
opt3,30,0,3,TIMEOUT,
opt3,30,0,4,OK,8.852906
opt3,35,0,0,TIMEOUT,
opt3,35,0,1,TIMEOUT,
opt3,35,0,2,TIMEOUT,
opt3,35,0,3,TIMEOUT,
opt3,35,0,4,TIMEOUT,
opt3,40,0,0,TIMEOUT,
opt3,40,0,1,TIMEOUT,
opt3,40,0,2,TIMEOUT,
opt3,40,0,3,TIMEOUT,
opt3,40,0,4,TIMEOUT,
opt3,45,0,0,TIMEOUT,
opt3,45,0,1,TIMEOUT,
opt3,45,0,2,TIMEOUT,
opt3,45,0,3,TIMEOUT,
opt3,45,0,4,TIMEOUT,
opt3,50,0,0,TIMEOUT,
opt3,50,0,1,TIMEOUT,
opt3,50,0,2,TIMEOUT,
opt3,50,0,3,TIMEOUT,
opt3,50,0,4,TIMEOUT,
opt4,0,0,0,OK,0.065186
opt4,0,1,1,OK,0.065606
opt4,0,2,2,OK,0.065883
opt4,5,0,0,OK,0.032541
opt4,5,1,1,OK,0.065753
opt4,5,2,2,OK,0.066723
opt4,10,0,0,OK,0.032129
opt4,10,1,1,OK,0.034396
opt4,10,2,2,OK,0.065770
opt4,15,0,0,OK,0.032886
opt4,15,1,1,OK,0.269356
opt4,15,2,2,OK,0.032899
opt4,20,0,0,OK,0.268673
opt4,20,1,1,OK,0.066137
opt4,20,2,2,OK,0.065637
opt4,25,0,0,OK,0.473147
opt4,25,1,1,OK,0.064423
opt4,25,2,2,OK,0.266370
opt4,30,0,0,OK,0.269103
opt4,30,1,1,OK,0.269433
opt4,30,2,2,OK,0.065003
opt4,35,0,0,OK,0.870547
opt4,35,1,1,OK,0.266417
opt4,35,2,2,OK,0.266346
opt4,40,0,0,OK,0.670196
opt4,40,1,1,OK,0.065871
opt4,40,2,2,OK,0.469647
opt4,45,0,0,OK,1.078249
opt4,45,1,1,OK,1.080577
opt4,45,2,2,OK,1.284242
opt4,50,0,0,OK,1.487687
opt4,50,1,1,OK,1.081648
opt4,50,2,2,OK,0.466853
opt5,0,0,0,OK,0.033440
opt5,0,1,1,OK,0.032402
opt5,0,2,2,OK,0.065476
opt5,5,0,0,OK,1.271101
opt5,5,1,1,OK,0.667883
opt5,5,2,2,OK,0.872239
opt5,10,0,0,OK,2.334059
opt5,10,1,1,OK,2.691478
opt5,10,2,2,OK,3.308211
opt5,15,0,0,OK,3.772803
opt5,15,1,1,OK,3.923947
opt5,15,2,2,OK,2.094191
opt5,20,0,0,OK,3.363295
opt5,20,1,1,OK,7.959953
opt5,20,2,2,OK,6.927276
opt5,25,0,0,OK,8.420376
opt5,25,1,1,OK,7.222899
opt5,25,2,2,OK,6.760526
opt5,30,0,0,OK,7.173518
opt5,30,1,1,OK,8.428405
opt5,30,2,2,OK,8.844225
opt5,35,0,0,TIMEOUT,
opt5,35,0,1,OK,9.811551
opt5,35,1,2,TIMEOUT,
opt5,35,1,3,TIMEOUT,
opt5,35,1,4,TIMEOUT,
opt5,40,0,0,TIMEOUT,
opt5,40,0,1,TIMEOUT,
opt5,40,0,2,TIMEOUT,
opt5,40,0,3,TIMEOUT,
opt5,40,0,4,TIMEOUT,
opt5,45,0,0,TIMEOUT,
opt5,45,0,1,TIMEOUT,
opt5,45,0,2,TIMEOUT,
