option,window_size,run,attempt,status,seconds
opt1,1,0,0,OK,0.117522
opt1,1,1,1,OK,0.117238
opt1,1,2,2,OK,0.065288
opt1,2,0,0,OK,0.066811
opt1,2,1,1,OK,0.066003
opt1,2,2,2,OK,0.065866
opt1,5,0,0,OK,0.065653
opt1,5,1,1,OK,0.065285
opt1,5,2,2,OK,0.064918
opt1,10,0,0,OK,0.065989
opt1,10,1,1,OK,0.065911
opt1,10,2,2,OK,0.066672
opt1,20,0,0,OK,0.065962
opt1,20,1,1,OK,0.065812
opt1,20,2,2,OK,0.065755
opt1,50,0,0,OK,0.069324
opt1,50,1,1,OK,0.066047
opt1,50,2,2,OK,0.065838
opt2,1,0,0,OK,2.158364
opt2,1,1,1,OK,4.006234
opt2,1,2,2,OK,2.981010
opt2,2,0,0,OK,0.073926
opt2,2,1,1,OK,0.270886
opt2,2,2,2,OK,0.526736
opt2,5,0,0,OK,0.066337
opt2,5,1,1,OK,0.065703
opt2,5,2,2,OK,0.067391
opt2,10,0,0,OK,0.073047
opt2,10,1,1,OK,0.065698
opt2,10,2,2,OK,0.065364
opt2,20,0,0,OK,0.065738
opt2,20,1,1,OK,0.270552
opt2,20,2,2,OK,0.065310
opt2,50,0,0,OK,0.323760
opt2,50,1,1,OK,0.064991
opt2,50,2,2,OK,0.066009
opt3,1,0,0,OK,1.956074
opt3,1,1,1,OK,4.715139
opt3,1,2,2,OK,3.390881
opt3,2,0,0,OK,2.777629
opt3,2,1,1,OK,1.955729
opt3,2,2,2,OK,2.983906
opt3,5,0,0,OK,1.091140
opt3,5,1,1,OK,2.935223
opt3,5,2,2,OK,2.368193
opt3,10,0,0,OK,2.986369
opt3,10,1,1,OK,2.162314
opt3,10,2,2,OK,2.527721
opt3,20,0,0,OK,1.754179
opt3,20,1,1,OK,2.964960
opt3,20,2,2,OK,2.111791
opt3,50,0,0,OK,1.908814
opt3,50,1,1,OK,2.564992
opt3,50,2,2,OK,2.568470
opt4,1,0,0,OK,2.367838
opt4,1,1,1,OK,3.851642
opt4,1,2,2,OK,2.572040
opt4,2,0,0,OK,0.321348
opt4,2,1,1,OK,0.475099
opt4,2,2,2,OK,0.270259
opt4,5,0,0,OK,0.065812
opt4,5,1,1,OK,0.066163
opt4,5,2,2,OK,0.064086
opt4,10,0,0,OK,0.064357
opt4,10,1,1,OK,0.064273
opt4,10,2,2,OK,0.064975
opt4,20,0,0,OK,0.064961
opt4,20,1,1,OK,0.065211
opt4,20,2,2,OK,0.065245
opt4,50,0,0,OK,0.064998
opt4,50,1,1,OK,0.068897
opt4,50,2,2,OK,0.070666
opt5,1,0,0,OK,2.502808
opt5,1,1,1,OK,4.559177
opt5,1,2,2,OK,2.696099
opt5,2,0,0,OK,2.776693
opt5,2,1,1,OK,3.861125
opt5,2,2,2,OK,3.182885
opt5,5,0,0,OK,1.765237
opt5,5,1,1,OK,2.593725
opt5,5,2,2,OK,2.119319
opt5,10,0,0,OK,3.281155
opt5,10,1,1,OK,2.882697
opt5,10,2,2,OK,2.322699
opt5,20,0,0,OK,2.574915
opt5,20,1,1,OK,2.877658
opt5,20,2,2,OK,3.098424
opt5,50,0,0,OK,2.757937
opt5,50,1,1,OK,2.755865
opt5,50,2,2,OK,2.033988
